NUTS118CD,NUTS118NM,FID
UKC,North East (England),1
UKD,North West (England),2
UKE,Yorkshire and The Humber,3
UKF,East Midlands (England),4
UKG,West Midlands (England),5
UKH,East of England,6
UKI,London,7
UKJ,South East (England),8
UKK,South West (England),9
UKL,Wales,10
UKM,Scotland,11
UKN,Northern Ireland,12
